facility_name,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Neema Highway Medical Home,Kamara Ward,Kuresoi North  Sub County,Nakuru County,20147,13490,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Family Health Centre (Embu),Kirimari Ward,Manyatta  Sub County,Embu County,18239,8660,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kabras Action Group (KAG) Clinic,South kabras Ward,Malava Sub County,Kakamega County,16164,10613,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Waka Maternity Home,Ruringu/ Karia Ward,Nyeri Central Sub County,Nyeri County,11156,5781,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Tanaka Nursing Home,Burumba Ward,Matayos Sub County,Busia County,16149,5476,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kavisuni Health Care Clinic,Kisasi Ward,Kitui Rural Sub County,Kitui County,12260,6308,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Robins Health Care Clinics,Maua Ward,Igembe South Sub County,Meru County,18936,12947,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Joy Nursing Home and Maternity,Airbase Ward,Kamukunji  Sub County,Nairobi County,18594,14110,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Joint Partner Medical Clinic,Shiru Ward,Hamisi Sub County,Vihiga County,16455,4231,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Martin Medical Clinic,Thange Ward,Kibwezi East  Sub County,Makueni County,16644,2383,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
New Heri Medical Centre,Tezo Ward,Kilifi North Sub County,Kilifi County,16180,8118,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ingavira Medical Clinic(CMC),South kabras Ward,Malava Sub County,Kakamega County,15898,17486,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kasarani Maternity,Clay City,Kasarani  Sub County,Nairobi County,13011,7194,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Topcare Nursing Home,Oloosirkon/sholinke Ward,Kajiado East Sub County,Kajiado County,18189,5378,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Seth Medical Clinic,Limuru Central Ward,Limuru Sub County,Kiambu County,17267,2194,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ashburn Ohuru Dispensary,South east alego Ward,Alego Usonga Sub County,Siaya County,17524,17247,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Aro (SDA) Dispensary,North Sakwa Ward,Bondo Sub County,Siaya County,13485,15071,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Maliera SDA Dispensary,North gem Ward,Gem Sub County,Siaya County,20013,12682,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Immanuel Medical Clinic,Kijabe Ward,Lari Sub County,Kiambu County,10351,3388,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mama Vero Clinic,Kauwi Ward,Kitui West  Sub County,Kitui County,12464,7469,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
New Wananchi Maternity and  Nursing Home,Sokoni Ward,Kilifi North Sub County,Kilifi County,11891,8283,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ebenezer Medical Clinic (Malindi),Malindi town Ward,Malindi Sub County,Kilifi County,11362,7676,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ahadi Health and Maternity Services,Nyanduma Ward,Lari Sub County,Kiambu County,10018,7580,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Tsavo Comprehensive Clinic,Kaloleni  Ward,Voi Sub County,Taita Taveta County,21383,11934,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Makande Healthcare Services,Ganjoni Ward-Shimanzi Ward,Mvita  Sub County,Mombasa County,17346,7388,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kamfas Clinic,Kariti Ward,Kirinyaga West Sub County,Kirinyaga County,10449,3211,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nyagowa Elck Dispensary,West kasipul Ward,Kasipul Sub County,Homa Bay County,13873,16367,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Geva Medical Clinic,Kolwa central Ward,Kisumu East Sub County,Kisumu County,18969,9791,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Gertrudes Children's hosp Clinic TRM,Roysambu Ward,Roysambu  Sub County,Nairobi County,22785,2061690,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Maisha Medical clinic,Kolwa East Ward,Kisumu East Sub County,Kisumu County,22273,2061446,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
ST. Jude Thaddeus,Kinyoro Ward,Saboti  Sub County,Trans-Nzoia County,19672,1289,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Roret Medical Clinic,Kisiara Ward,Bureti Sub County,Kericho County,15499,4553,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mwachande Medical Clinic,Ramisi Ward,Msambweni Sub County,Kwale County,16548,9111,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Okitta Maternity Nursing Home,Kabondo east Ward,Kabondo Kasipul Sub County,Homa Bay County,13973,15070,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Githurai Medical dispensary,Githurai Ward,Roysambu  Sub County,Nairobi County,12956,14527,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mufutu Medical Clinic,Township Ward,Kanduyi Sub County,Bungoma County,18444,2504,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Happy Magwagwa Clinic,Magwagwa Ward,Nyamira North Sub County,Nyamira County,13599,9432,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ros Megg Clinic,Kangeta Ward,Igembe Central Sub County,Meru County,12715,13566,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
PCEA Kasasule Dispensary,Thange Ward,Kibwezi East  Sub County,Makueni County,12205,6100,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Muhabini Medical Clinic,North east bunyore Ward,Emuhaya Sub County,Vihiga County,16026,10315,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nyaramba Medical Clinic,Kiabonyoru Ward,Borabu Sub County,Nyamira County,22448,2061055,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Matasia Nursing Home,Olkeri Ward,Kajiado North Sub County,Kajiado County,15153,6515,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kabondo east Ward,Kabondo Kasipul Sub County,Homa Bay County,Kenya,1226,15068,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Matuu Cottage Clinic,Matuu Ward,Yatta Sub County,Machakos County,12487,14586,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nacoharg Medical Centre,Hells Gate Ward,Naivasha  Sub-County,Nakuru County,15272,8048,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mundoro Medical Clinic Dandora,Dandora area ii Ward,Embakasi North Sub County,Nairobi County,13102,12868,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Doctors Worldwide Tembo Medical Centre,Muhuru Ward,Nyatike Sub County,Migori County,21174,1293,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Hesed Clinic Masiro,East ugenya Ward,Ugenya Sub County,Siaya County,18445,4675,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Jamii Medical Clinic (Kajiado),Ildamat Ward,Kajiado Central Sub County,Kajiado County,14591,3654,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Eldamaravine Nursing Home,Ravine  Ward,Koibatek Sub County,Baringo County,19322,4082,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mitunguu Dispensary,Mitunguu Ward,Imenti South Sub County,Meru County,12534,9793,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kiambogo Medical Clinic (Wanjohi),Wanjohi Ward,Kipipiri Sub County,Nyandarua County,17564,8542,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kapsirichoi Dispensary,Kilibwoni Ward,Emgwen Sub County,Nandi County,17631,12094,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Salama Dawa Health Services,Naathu Ward,Igembe North Sub County,Meru County,12725,11860,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Majoh Medical Clinic,Sinyerere Ward,Cherangany Sub County,Trans-Nzoia County,15115,4786,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Andrews Medical Clinic,Gongoni Ward,Magarini Sub County,Kilifi County,11808,7814,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Homebase,Kinango Ward,Kinango Sub County,Kwale County,18056,14434,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Saint Gabriel Hospital And Wellness Centre,Litein Ward,Bureti Sub County,Kericho County,22153,2062072,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Oasis Medical Centre,Shimo la tewa Ward,Kilifi South Sub County,Kilifi County,18436,5718,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Jamii Clinical Service,Siaya township Ward,Alego Usonga Sub County,Siaya County,14115,17186,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Sosiot Medical Centre,Waldai Ward,Belgut Sub County,Kericho County,20846,12287,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kinyambu Kwitu Medical Clinic,Thange Ward,Kibwezi East  Sub County,Makueni County,20108,4030,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mkunga Clinic,Dandora area i Ward,Embakasi North Sub County,Nairobi County,13094,4223,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Virhembe Dispensary,Isukha central Ward,Shinyalu Sub County,Kakamega County,20175,1906,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Lenmek Hospital,Sameta/mokwerero Ward,Bobasi Sub County,Kisii County,20919,5669,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Bamburi Medicare,Kadzandani Ward,Nyali  Sub County,Mombasa County,11240,4135,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Family Medical Centre (Kisauni),Frere Town Ward,Nyali  Sub County,Mombasa County,11370,8834,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Deteni Medical Clinic,Rabai/kisurutini Ward,Rabai Sub County,Kilifi County,17537,13031,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Rapha Maternity (Nakuru Central),Nakuru east Ward,Nakuru East  Sub County,Nakuru County,15480,15728,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
kisayani Medical clinic,Kikumbulyu North Ward,Kibwezi West  Sub County,Makueni County,21009,1898,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nyandiwa Baptist Dispensary,Kabondo east Ward,Kabondo Kasipul Sub County,Homa Bay County,16877,15155,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Makadara Health Care,Athi river Ward,Athi River Sub County,Machakos County,12450,11387,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Coptic Nursing Home,Emabungo Ward,Luanda Sub County,Vihiga County,15862,10038,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Latulla Medical Centre,Mikindani Ward,Jomvu  Sub County,Mombasa County,11516,9848,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kitale hospital ltd children clinic,Hospital Ward,Kiminini  Sub County,Trans-Nzoia County,22076,2062024,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Riokindo Health Centre,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,14052,7782,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Diana Medical Clinic,Rware Ward,Nyeri Central Sub County,Nyeri County,10108,9716,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kwa Lydia Medical Clinic,Naromoru/kiamathaga Ward,Kieni East Sub County,Nyeri County,17572,9693,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Amani Medical Clinic (Kilifi),Mnarani Ward,Kilifi North Sub County,Kilifi County,11217,8144,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Unison Medical Clinic,Rumuruti Township Ward,Laikipia West Sub County,Laikipia County,17032,2164,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Omosocho Medical Clinic,Manga Ward,Manga Sub County,Nyamira County,18772,5762,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
K-Met Corkran Medical Clinic,Railways Ward,Kisumu Central Sub County,Kisumu County,17554,2863,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Maamba Medical Clinic,Mtepeni Ward,Kilifi South Sub County,Kilifi County,11528,3040,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
New Mbita Clinic,Rusinga island Ward,Mbita Sub County,Homa Bay County,17691,14983,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Annex Medical Clinic (Trans Nzoia West),Nabiswa Ward,Kiminini  Sub County,Trans-Nzoia County,14208,9035,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
THE AVENUE MEDICAL AND DIAGNOSTIC CENTRE,Mukurwe-ini central Ward,Mukurweini Sub County,Nyeri County,22201,292555,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Atemo Health Centre,Kojwach Ward,Kabondo Kasipul Sub County,Homa Bay County,13489,16013,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Consolata Clinic,Mau narok Ward,Njoro  Sub County,Nakuru County,14396,5419,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Watamu Hospital,Dabaso Ward,Kilifi North Sub County,Kilifi County,11897,7222,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Makutano Medical Clinic,Luanda township Ward,Luanda Sub County,Vihiga County,16451,10115,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
MT. Kenya  Med clinic,Muguru Ward,Kangema Sub County,Muranga County,22925,2061158,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Alliance Clinic,Chavakali Ward,Sabatia Sub County,Vihiga County,15794,3433,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Good Shepherd Dispensary,Mutu-ini Ward,Dagoretti South Sub County,Nairobi County,12960,15016,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Acode Medical Clinic Maungu,Marungu Ward,Voi Sub County,Taita Taveta County,11195,3910,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nairobi Homes Hospital,Shanzu Ward,Kisauni  Sub County,Mombasa County,17619,5963,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ogembo Medical Clinic,Boochi Tendere Ward,Bomachoge Chache Sub County,Kisii County,16257,4594,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Immaculate Clinic,Syokimau/mulolongo Ward,Athi River Sub County,Machakos County,12750,14783,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Njabini Maternity and Nursing Home,Njabani/kiburu Ward,Kinangop Sub County,Nyandarua County,10877,12408,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Tumaini Brigadier Medical Clinic,Soysambu/ Mitua Ward,Tongaren Sub County,Bungoma County,21403,12747,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kolanya Salvation Army Dispensary,Ang'urai east Ward,Teso North Sub County,Busia County,15953,10811,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Chwele Friends Dispensary,Namwela Ward,Sirisia Sub County,Bungoma County,15861,1872,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mulimani Medical Clinic,Chekalini Ward,Lugari Sub County,Kakamega County,18451,16969,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Patrick Health Care Centre,Kayole north Ward,Embakasi Central Sub County,Nairobi County,13222,7068,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nala Maternity and Nursing Home,Shirere Ward,Lurambi Sub County,Kakamega County,16062,5186,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Jope Medical Centre,Shanzu Ward,Kisauni  Sub County,Mombasa County,21998,2061126,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Bama Hospital,Siaya township Ward,Alego Usonga Sub County,Siaya County,13493,17134,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Goldenlife Medical Centre Naivasha,Lake view Ward,Naivasha  Sub-County,Nakuru County,20131,15557,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nazareth Medical Clinic (Wareng),Tulwet/Chuiyat Ward,Kesses Sub County,Uasin Gishu County,16341,10595,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Stops Medical Clinic Kenya Ltd,Kondele Ward,Kisumu Central Sub County,Kisumu County,17700,12845,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mutheu Edel Medical Clinic (Ulilinzi),Masongaleni Ward,Kibwezi East  Sub County,Makueni County,20994,289910,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Watamu Community Health Centre,Watamu Ward,Kilifi North Sub County,Kilifi County,11894,8093,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Medical Link (Gucha),Bosoti/sengera Ward,Bomachoge Chache Sub County,Kisii County,13539,8080,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ichomba Clinic,Abogeta west Ward,Imenti South Sub County,Meru County,12067,9808,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Medical Link Integrated Health Program,Viwandani Ward,Makadara  Sub County,Nairobi County,19493,15297,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Sipili Maternity and Nursing Home,Ol-Moran Ward,Laikipia West Sub County,Laikipia County,17148,12752,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kehancha Mother & Child Hospital,Bukira east Ward,Kuria West Sub County,Migori County,13665,7240,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Enzai Afya Medical Clinic,Mukaa Ward,Kilome Sub County,Makueni County,17430,6244,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nzoia Medical Centre,Bukembe east Ward,Kanduyi Sub County,Bungoma County,18111,5263,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ndonyo Nursing Home (Kwa Muya Clinic),Olkaria Ward,Naivasha  Sub-County,Nakuru County,19336,15681,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Rosewood Nursing Home,Central Kamagambo Ward,Rongo Sub County,Migori County,18068,14386,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mariakani Community Health Care Services,Mariakani Ward,Kaloleni Sub County,Kilifi County,16188,1539,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kemera Dispensary,Kamera Ward,Manga Sub County,Nyamira County,13666,9441,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Plainsview Nursing Home,Biashara Ward,Ruiru Sub County,Kiambu County,10940,5269,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Makutano Medical Clinic/Lab,Municipality Ward,Imenti North Sub County,Meru County,16594,3047,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Raphael Arch Medical,TAPSAGOI WARD,Turbo Sub County,Uasin Gishu County,17488,10794,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Namayiana Clinic,Ildamat Ward,Kajiado Central Sub County,Kajiado County,15295,6235,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kasarani Claycity Medical Centre (Kasarani),Clay City,Kasarani  Sub County,Nairobi County,17948,15119,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Gakira Medical Clinic,Muguru Ward,Kangema Sub County,Muranga County,10201,11627,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Igorera Medical Clinic,Bombaba borabu Ward,Bomachoge Borabu Sub County,Kisii County,18340,7658,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Bosongo Hospital,Kitutu central Ward,Kitutu Chache South Sub County,Kisii County,13515,8376,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Congo medical services,Kahawa,Roysambu  Sub County,Nairobi County,20641,4209,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Mathews Maternity and Lab Services,Kaputiei north Ward,Kajiado East Sub County,Kajiado County,15657,14724,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Huduma Bora,Kabare Ward,Kirinyaga East Sub County,Kirinyaga County,19817,2085633,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nakuru Nursing Home,Biashara Ward,Nakuru East  Sub County,Nakuru County,15287,15701,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Siloam Hospital,Kipchebor Ward,Ainamoi Sub County,Kericho County,15571,9345,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Suna Nursing and Maternity Home,Oruba Ward,Suna West Sub County,Migori County,14134,14747,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Chemasiri (ACK) Dispensary,Ang'urai east Ward,Teso North Sub County,Busia County,15853,13354,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Annointed Med,Lusheya/lubinu Ward,Mumias East Sub County,Kakamega County,18816,4657,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Dawida Maternity Nursing Home,Wundanyi/mbale Ward,Wundanyi Sub County,Taita Taveta County,11299,10375,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Royal Clinic,Mekenene Ward,Borabu Sub County,Nyamira County,17732,3455,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Lukanji Dispensary,Idakho central Ward,Ikolomani Sub County,Kakamega County,22757,292567,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Jawabu (Community) Medical Clinic,Kabondo east Ward,Kabondo Kasipul Sub County,Homa Bay County,13633,15069,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Bakarani Community Clinic,Frere Town Ward,Nyali  Sub County,Mombasa County,16532,11954,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Wangu Medical Clinic,Ruai Ward,Kasarani  Sub County,Nairobi County,13252,7520,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St. Lukes Busiada Dispensary,Marachi central Ward,Butula Sub County,Busia County,21064,5861,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Marimanti Med Clinic,Marimanti Ward,Tharaka South Sub County,Tharaka Nithi County,17658,11307,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Green Park Health Care,Shimo la tewa Ward,Kilifi South Sub County,Kilifi County,21756,12525,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Obeys Medical Clinic,Kiru Ward,Mathioya Sub County,Muranga County,10908,5435,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Apostles Dispensary,Marama Central Ward,Butere Sub County,Kakamega County,15803,16821,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Florex Medical Linic,Nakuru east Ward,Nakuru East  Sub County,Nakuru County,18659,9256,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Hope Medical Clinic (Kirinyaga),Kiine Ward,Kirinyaga West Sub County,Kirinyaga County,10325,3233,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Nkubu Medical Clinic,Nkuene Ward,Imenti South Sub County,Meru County,12667,3501,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Afya Clinic,Wundanyi/mbale Ward,Wundanyi Sub County,Taita Taveta County,11201,5282,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Enoosaen Zh Clinic,Keyian Ward,Transmara West Sub County,Narok County,14466,10207,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Annes Health Clinic,Ndenderu Ward,Kiambaa Sub County,Kiambu County,17142,5498,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Border View Medical Clinic,Isibania Ward,Kuria West Sub County,Migori County,21423,14285,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Canaan Clinic (Matete),Lwandeti Ward,Lugari Sub County,Kakamega County,15841,4332,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Kituneni Medical Clinic,Mbiuni Ward,Mwala Sub County,Machakos County,12371,12561,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Baraka Medical Clinic (Trans Nzoia East),Motosiet Ward,Cherangany Sub County,Trans-Nzoia County,16693,4691,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Prime Healthservices Dispensary,Kahawa West,Roysambu  Sub County,Nairobi County,13147,7265,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Niceview Medical Clinic,Ramisi Ward,Msambweni Sub County,Kwale County,20746,10589,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Emmanuel Medical Clinic,Mukurwe-ini central Ward,Mukurweini Sub County,Nyeri County,22183,1249,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Boore Clinic,Township Ward,Thika Town Sub County,Kiambu County,10074,7526,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Chimoi Medical Centre,Lwandeti Ward,Lugari Sub County,Kakamega County,22096,9763,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
St Mary's Mission International,Ngenda Ward,Gatundu South Sub County,Kiambu County,20657,2205,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mtwapa Nursing Home,Shimo la tewa Ward,Kilifi South Sub County,Kilifi County,11673,7711,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Mbaleway Side Clinic,Lugaga-wamuluma Ward,Vihiga Sub County,Vihiga County,16013,4227,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Deviruco Medical Clinic,Burumba Ward,Matayos Sub County,Busia County,22049,13139,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Padens Medicare Centre,Kangemi Ward,Westlands  Sub County,Nairobi County,13137,7108,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Roadway medical clinic,Kapsaos Ward,Turbo Sub County,Uasin Gishu County,20238,293228,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Borabu Medical Clinic,Shanzu Ward,Kisauni  Sub County,Mombasa County,11260,5976,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Eunice Medical Clinic,Iria-ini Ward,Nyeri South Sub County,Nyeri County,10173,4408,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Ichuga Medical Clinic,Gakawa Ward,Kieni East Sub County,Nyeri County,18023,9960,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Equator Clinic,Burumba Ward,Matayos Sub County,Busia County,20443,1334,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
Khems Medical Clinic,Viwandani Ward,Naivasha  Sub-County,Nakuru County,15484,15559,2018Q2,"FPRH, Malaria, MCH, Training",Population Services International,291010
