no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1749,Ndatani Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,12636,12560,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1750,Butiye Dispensary,Butiye Ward,Moyale  Sub County,Marsabit County,11958,11169,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1751,Mui Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12556,6977,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1752,Ndonyo Nasipa Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,19946,12371,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1753,Illaut Dispensary,Korr/ngurunit Ward,Laisamis  Sub County,Marsabit County,12086,13118,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1754,Kiseveni Dispensary,Kauwi Ward,Kitui West  Sub County,Kitui County,12346,10010,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1755,Ndonyo Wasin Dispensary,Waso Ward,Samburu East Sub County,Samburu County,15327,11070,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1756,Muangeni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17816,12011,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1757,Nduu Ndune Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,17814,2351,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1758,Teso District Hospital,Malaba South Ward,Teso North Sub County,Busia County,16150,3929,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1759,Muamba Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17603,13380,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1760,Mansile Dispensary,Heillu/Manyatta Ward,Moyale  Sub County,Marsabit County,16218,13294,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1761,Neema Nursing Home,Kyuso Ward,Mwingi North Sub County,Kitui County,21141,9410,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1762,Arsim Lutheran Dispensary,Ndoto Ward,Samburu North Sub County,Samburu County,14217,9416,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1763,Monguni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17601,13446,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1764,Malaba Dispensary,Malaba central Ward,Teso North Sub County,Busia County,15993,10785,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1765,Ngaie Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,16861,8338,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1766,Golole Dispensary,Uran Ward,Moyale  Sub County,Marsabit County,12051,13100,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1767,Ngelani Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18686,3750,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1768,Mivukoni Health Centre,Kyuso Ward,Mwingi North Sub County,Kitui County,12539,1307,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1769,Agakhan Medical Centre-Busia,Burumba Ward,Matayos Sub County,Busia County,22053,8858,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1770,Ngilai Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,14459,11102,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1771,Ngomeni Health Centre,Ngomeni Ward,Mwingi North Sub County,Kitui County,12654,8391,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1772,Butula Mission Health Centre,Marachi north Ward,Butula Sub County,Busia County,15838,5580,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1773,Burinda Dispensary,Marachi west Ward,Butula Sub County,Busia County,15830,5526,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1774,Ngongoni Dispensary (Kyuso),Tseikuru Ward,Mwingi North Sub County,Kitui County,16864,9514,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1775,Mikuyuni Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,17004,7282,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1776,Ngongoni Dispensary (Mwingi),Nguutani Ward,Mwingi West Sub County,Kitui County,12655,3626,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1777,Ngeru Dispensary,Ganga Ward,Mwimbi Sub County,Tharaka Nithi County,12649,11665,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1778,Nguni Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,12658,7967,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1779,Mukothima Health Centre,Mukothima Ward,Tharaka North Sub County,Tharaka Nithi County,12560,3023,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1780,Ngutuk-Engiron Dispensary,Wamba east Ward,Samburu East Sub County,Samburu County,15355,10833,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1781,Mikongooni Dispensary,Kanziko Ward,Kitui South Sub County,Kitui County,17599,6182,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1782,Karare Dispensary,Karare Ward,Saku  Sub County,Marsabit County,12197,13127,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1783,Nguungani Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,12662,8410,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1784,Budalangi Dispensary,Bunyala north Ward,Bunyala Sub County,Busia County,15811,5930,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1785,Nthongoni Health Centre (Kitui),Kwavonza/yatta Ward,Kitui Rural Sub County,Kitui County,12677,2912,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1786,Nkutuk Elmuget Dispensary,Wamba east Ward,Samburu East Sub County,Samburu County,18030,5615,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1787,Nuu Hospital,Nuu Ward,Mwingi Central Sub- County,Kitui County,12681,9462,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1788,Migwani Sub-District Hospital,Migwani Ward,Mwingi West Sub County,Kitui County,12523,7367,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1789,Blueturtle Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,17609,12568,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1790,Nzangathi Health Centre,Chuluni Ward,Kitui East Sub County,Kitui County,16992,7541,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1791,Gus Dispensary,North Horr Ward,North Horr  Sub County,Marsabit County,12054,11137,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1792,Nzatani Dispensary (Mwingi),Migwani Ward,Mwingi West Sub County,Kitui County,12689,7350,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1793,Iiani Catholic Dispensary,Mutongoni Ward,Kitui West  Sub County,Kitui County,12073,4034,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1794,Dakabaricha Dispensary,Marsabit central Ward,Saku  Sub County,Marsabit County,11983,4978,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1795,Busia County Refferal Hospital,Burumba Ward,Matayos Sub County,Busia County,15834,10678,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1796,Equator Nursing and Maternity Home,Luanda township Ward,Luanda Sub County,Vihiga County,15880,10095,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1797,Igorera Medical Clinic,Bombaba borabu Ward,Bomachoge Borabu Sub County,Kisii County,18340,7658,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1798,Skans Health Care Centre,Mjambere Ward,Kisauni  Sub County,Mombasa County,11775,7385,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1799,Aberdare Medical Centre Ltd,Kangari Ward,Kigumo Sub County,Muranga County,21416,2527,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1800,Nyabikomu Dispensary,Kiabonyoru Ward,Borabu Sub County,Nyamira County,13860,9606,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1801,Kasarani Maternity,Clay City Ward,Kasarani  Sub County,Nairobi County,13011,7194,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1802,Victoria Medical Clinic,Township Ward,Kanduyi Sub County,Bungoma County,18108,2528,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1803,Mwachande Medical Clinic,Ramisi Ward,Msambweni Sub County,Kwale County,16548,9111,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1804,Family Health Centre (Embu),Kirimari Ward,Manyatta  Sub County,Embu County,18239,8660,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1805,Santa Maria  Medical Clinic (Kwale),Kubo south Ward,Matuga Sub County,Kwale County,17828,7439,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1806,Ram Hospital,Kitutu central Ward,Kitutu Chache South Sub County,Kisii County,14028,8355,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1807,Ros Megg Clinic,Kangeta Ward,Igembe Central Sub County,Meru County,12715,13566,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1808,Nazareth Medical Clinic (Wareng),Tulwet/Chiyat Ward,Kesses Sub County,Uasin Gishu County,16341,10595,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1809,Turning Point Medical Centre,Marachi central Ward,Butula Sub County,Busia County,21057,5926,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1810,Glory Health Clinic,Ngando Ward,Dagoretti South Sub County,Nairobi County,18613,3033,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1811,Mwea County Medical Centre,Tebere Ward,Kirinyaga South Sub County,Kirinyaga County,19842,2061638,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1812,Ash Community Clinic,Waitaluk Ward,Kiminini  Sub County,Trans-Nzoia County,18751,8986,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1813,K-Met Corkran Medical Clinic,Railways Ward,Kisumu Central Sub County,Kisumu County,17554,2863,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1814,Lina Medical Services,Embakasi Ward,Embakasi East Sub County,Nairobi County,20406,12705,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1815,Watamu Community Health Centre,Watamu Ward,Kilifi North Sub County,Kilifi County,11894,8093,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1816,Summit Medical ) Clinic (Nyansiongo,Nyansiongo Ward,Borabu Sub County,Nyamira County,23158,5460,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1817,Illikeek Oodupa,Shankoe Ward,Transmara West Sub County,Narok County,18251,5838,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1818,Jamii Medical Clinic (Kajiado),Ildamat Ward,Kajiado Central Sub County,Kajiado County,14591,3654,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1819,Mkunga Clinic,Dandora area i Ward,Embakasi North Sub County,Nairobi County,13094,4223,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1820,Bethezda Medical Clinic,Nandi hills Ward,Nandi East Sub County,Nandi County,18935,8539,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1821,Kama Medical Clinic,Kanuni Ward,Igembe South Sub County,Meru County,17660,1702,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1822,Ichuga Medical Clinic,Gakawa Ward,Kieni East Sub County,Nyeri County,18023,9960,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1823,Jambo Medical Clinic,Kongowea Ward,Nyali  Sub County,Mombasa County,11425,7595,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1824,Kenlands Health services,Kiamaina Ward,Nakuru North  Sub County,Nakuru County,21051,3053,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1825,Beberion Clinic,Nzoia Ward,Likuyani Sub County,Kakamega County,15807,17289,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1826,Isana Maternity and Nursing,Bobaracho Ward,Nyaribari Chache  Sub County,Kisii County,13622,2451,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1827,Akemo Medical Clinic,Timbwani Ward,Likoni  Sub County,Mombasa County,17770,4751,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1828,Boore Clinic,Township Ward,Thika Town Sub County,Kiambu County,10074,7526,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1829,Canaan Clinic (Matete),Lwandeti Ward,Lugari Sub County,Kakamega County,15841,4332,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1830,St Mary's Mother & Child Medical Services,Township Ward,Kiambu Town Sub County,Kiambu County,18603,13435,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1831,Nyagowa Elck Dispensary,West kasipul Ward,Kasipul Sub County,Homa Bay County,13873,16367,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1832,Afya Clinic,Wundanyi/mbale Ward,Wundanyi Sub County,Taita Taveta County,11201,5282,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1833,Romkan Medical Centre,Juja Ward,Juja Sub County,Kiambu County,21923,13642,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1834,Kapsirichoi Dispensary,Kilibwoni Ward,Emgwen Sub County,Nandi County,17631,12094,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1835,Provide International Clinic (Kayole),Komarock Ward,Embakasi Central Sub County,Nairobi County,13151,17511,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1836,Jamii Clinical Service,Siaya township Ward,Alego Usonga Sub County,Siaya County,14115,17186,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1837,Wangu Medical Clinic,Ruai Ward,Kasarani  Sub County,Nairobi County,13252,7520,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1838,Kwale Medical Centre,Tsimba golini Ward,Matuga Sub County,Kwale County,21991,14406,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1839,Jawabu (Community) Medical Clinic,Kabondo east Ward,Kabondo Kasipul Sub County,Homa Bay County,13633,15069,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1840,Igare Medical Clinic,Bobasi/boitangare Ward,Bobasi Sub County,Kisii County,13613,5653,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1841,New Kihoya Clinic,Rwathia Ward,Kangema Sub County,Muranga County,10849,10977,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1842,Mitunguu Dispensary,Mitunguu Ward,Imenti South Sub County,Meru County,12534,9793,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1843,Modesty Outpatient Centre,Tebere Ward,Kirinyaga South Sub County,Kirinyaga County,20482,2656,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1844,Karma Dispensary,Kariobangi north Ward,Embakasi North Sub County,Nairobi County,13008,14451,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1845,Faith Medical Clinic,Lugari Ward,Lugari Sub County,Kakamega County,18840,5946,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1846,Chemasiri (ACK) Dispensary,Ang'urai east Ward,Teso North Sub County,Busia County,15853,13354,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1847,Khalaba Medical Services,Khalaba Ward,Kanduyi Sub County,Bungoma County,17881,1823,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1848,Muhabini Medical Clinic,North east bunyore Ward,Emuhaya Sub County,Vihiga County,16026,10315,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1849,Bama Hospital,Siaya township Ward,Alego Usonga Sub County,Siaya County,13493,17134,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1850,Mavoko Medical Clinic,Athi river Ward,Athi River Sub County,Machakos County,12494,6439,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1851,Kituneni Medical Clinic,Mbiuni Ward,Mwala Sub County,Machakos County,12371,12561,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1852,Kasarani Claycity Medical Centre (Kasarani),Clay City Ward,Kasarani  Sub County,Nairobi County,17948,15119,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1853,St Patrick Health Care Centre,Kayole north Ward,Embakasi Central Sub County,Nairobi County,13222,7068,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1854,Ukunda Medical Clinic,Ukunda Ward,Msambweni Sub County,Kwale County,16552,4451,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1855,Marimanti Med Clinic,Marimanti Ward,Tharaka South Sub County,Tharaka Nithi County,17658,11307,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1856,Machwele Dispensary,West bukusu Ward,Bumula Sub County,Bungoma County,15984,1997,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1857,Ntunygi Medical Clinic,Bukira east Ward,Kuria West Sub County,Migori County,20198,14025,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1858,Mercy Medical (Kianugu) Clinic,Gathigiriri Ward,Kirinyaga South Sub County,Kirinyaga County,10563,8271,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1859,Kamasengere Dispensary,Rusinga island Ward,Mbita Sub County,Homa Bay County,13650,15086,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1860,Samaria Maternity Home,Kabaru Ward,Kieni East Sub County,Nyeri County,10996,5544,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1861,Watamu Maternity and Nursing Home,Watamu Ward,Kilifi North Sub County,Kilifi County,11896,11342,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1862,St Richards Medical Clinic,Shanzu Ward,Kisauni  Sub County,Mombasa County,18843,11749,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1863,St. Akidiva Mindira Hospital - Mabera,Tagare Ward,Kuria West Sub County,Migori County,22883,14344,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1864,Enzai Afya Medical Clinic,Mukaa Ward,Kilome Sub County,Makueni County,17430,6244,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1865,New Wananchi Maternity and  Nursing Home,Sokoni Ward,Kilifi North Sub County,Kilifi County,11891,8283,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1866,Alliance Clinic,Chavakali Ward,Sabatia Sub County,Vihiga County,15794,3433,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1867,St Jairus Hospital,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,21766,14033,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1868,St Immaculate Clinic,Syokimau/mulolongo Ward,Athi River Sub County,Machakos County,12750,14783,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1869,Matasia Nursing Home,Olkeri Ward,Kajiado North Sub County,Kajiado County,15153,6515,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1870,Greenview Medical Centre,Biashara Ward,Nakuru East  Sub County,Nakuru County,20217,15609,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1871,Nakuru Nursing Home,Biashara Ward,Nakuru East  Sub County,Nakuru County,15287,15701,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1872,Burnt Forest Medical Clinic,Tarakwa Ward,Kesses Sub County,Uasin Gishu County,16342,13154,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1873,Kabras Action Group (KAG) Clinic,South kabras Ward,Malava Sub County,Kakamega County,16164,10613,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1874,Bujumba Dispensary,Marachi west Ward,Butula Sub County,Busia County,15816,5720,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1875,Annex Medical Clinic (Trans Nzoia West),Nabiswa Ward,Kiminini  Sub County,Trans-Nzoia County,14208,9035,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1876,Nyanchwa Adventist Hospital,Kisii Central Ward,Nyaribari Chache  Sub County,Kisii County,13918,13923,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1877,Gil Med Clinic,Igoji west Ward,Imenti South Sub County,Meru County,17960,4379,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1878,Salama Dawa Health Services,Naathu Ward,Igembe North Sub County,Meru County,12725,11860,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1879,Hesed Clinic Masiro,East ugenya Ward,Ugenya Sub County,Siaya County,18445,4675,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1880,Lugulu Friends Mission Hospital,Misikhu Ward,Webuye West Sub County,Bungoma County,15965,12760,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1881,Kinyambu Kwitu Medical Clinic,Thange Ward,Kibwezi East  Sub County,Makueni County,20108,4030,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1882,Maamba Medical Clinic,Mtepeni Ward,Kilifi South Sub County,Kilifi County,11528,3040,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1883,Gynocare Centre Maternity,Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu County,19205,10697,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1884,Susamed Medical Clinic,Kayole north Ward,Embakasi Central Sub County,Nairobi County,17686,17109,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1885,PERUJA HOSPITAL,Bogusero Ward,Kitutu Chache South Sub County,Kisii County,21820,2085844,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1886,Jamii Health Services Medical Clinic,Isukha North Ward,Shinyalu Sub County,Kakamega County,15907,6929,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1887,St Hillarias Medical Clinic,Chaani Ward,Changamwe Sub County,Mombasa County,11816,5914,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1888,Tumaini Rh Clinic,Tala Ward,Matungulu Sub County,Machakos County,12809,5654,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1889,Johpas Clinic,East gem Ward,Rangwe Sub County,Homa Bay County,13636,8449,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1890,Tumaini Maternity and Nursing Home,Kikumbulyu South Ward,Kibwezi West  Sub County,Makueni County,17917,8456,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1891,Leo Surgery,Ildamat Ward,Kajiado Central Sub County,Kajiado County,18538,4087,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1892,Makadara Health Care,Athi river Ward,Athi River Sub County,Machakos County,12450,11387,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1893,Baraka Afya Clinic,Gaturi south Ward,Manyatta  Sub County,Embu County,11943,11764,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1894,AIC Biribiriet Dispensary,Makutano Ward,Cherangany Sub County,Trans-Nzoia County,18835,5524,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1895,Nairobi Homes Hospital,Shanzu Ward,Kisauni  Sub County,Mombasa County,17619,5963,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1896,Kwa Lydia Medical Clinic,Naromoru/kiamathaga Ward,Kieni East Sub County,Nyeri County,17572,9693,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1897,St. Lukes Busiada Dispensary,Marachi central Ward,Butula Sub County,Busia County,21064,5861,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1898,MediPoint Dispensary,Mwiki Ward,Kasarani  Sub County,Nairobi County,13085,12886,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1899,Family Medical Centre (Kisauni),Frere town Ward,Nyali  Sub County,Mombasa County,11370,8834,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1900,Kabarnet Faith Clinic,Kabarnet Ward,Baringo Central Sub County,Baringo County,17492,13218,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1901,Solea Medical Clinic,Ng'araria Ward,Kandara Sub County,Muranga County,11016,12599,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1902,Sega Cottage Hospital,North ugenya Ward,Ugenya Sub County,Siaya County,14071,4389,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1903,Dubai Medical Clinic,Lanet/umoja Ward,Nakuru North  Sub County,Nakuru County,17046,5683,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1904,Murudef Dispensary,Idakho central Ward,Ikolomani Sub County,Kakamega County,16048,16353,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1905,St.Lawrence Hospital,Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay County,21162,4833,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1906,Ithare Medical Clinic,Kabare Ward,Kirinyaga East Sub County,Kirinyaga County,10358,8610,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1907,Lenmek Hospital,Sameta/mokwerero Ward,Bobasi Sub County,Kisii County,20919,5669,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1908,St David Clinic,Wanjohi Ward,Kipipiri Sub County,Nyandarua County,11031,9424,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1909,St Annes Health Clinic,Ndenderu Ward,Kiambaa Sub County,Kiambu County,17142,5498,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1910,Good Shepherd Dispensary,Mutu-ini Ward,Dagoretti South Sub County,Nairobi County,12960,15016,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1911,Neema Highway Medical Home,Kamara Ward,Kuresoi North  Sub County,Nakuru County,20147,13490,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1912,Masinde Muliro University of Science and Technology Clinic,Mahiakalo Ward,Lurambi Sub County,Kakamega County,16764,13274,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1913,Nala Maternity and Nursing Home,Shirere Ward,Lurambi Sub County,Kakamega County,16062,5186,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1914,The Great Lakes Medical Centre Luanda,Mwibona Ward,Luanda Sub County,Vihiga County,20295,11990,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1915,Nyamira Maternity and Nursing Home,Township Ward,Nyamira Sub County,Nyamira County,13913,9751,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1916,Acode Medical Clinic Maungu,Marungu Ward,Voi Sub County,Taita Taveta County,11195,3910,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1917,Horesha Medical Clinic,Mwatate Ward,Mwatate Sub County,Taita Taveta County,11415,9166,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1918,Joint Partner Medical Clinic,Shiru Ward,Hamisi Sub County,Vihiga County,16455,4231,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
1919,Borabu Medical Clinic,Shanzu Ward,Kisauni  Sub County,Mombasa County,11260,5976,2018Q3,"FPRH, Malaria, MCH, Training",Population Services International,291010
